year,nuts3,nuts3_key,cohort,value
2041,South-West,south west,65+,1022.8
2041,South-West,south west,85+,197.2
2041,West,west,15–64,2132.3
2041,West,west,65+,677.4
2041,West,west,85+,138.3
2042,Border,border,15–64,1773.3
2042,Border,border,65+,589.4
2042,Border,border,85+,120.8
2042,Dublin,dublin,15–64,6918.3
2042,Dublin,dublin,65+,1819.3
2042,Dublin,dublin,85+,336
2042,Ireland,ireland,15–64,23305
2042,Ireland,ireland,65+,7043.6
2042,Ireland,ireland,85+,1349.8
2042,Mid-East,mid east,15–64,3663.1
2042,Mid-East,mid east,65+,1080
2042,Mid-East,mid east,85+,186.4
2042,Mid-West,mid west,15–64,2128.9
2042,Mid-West,mid west,65+,713.7
2042,Mid-West,mid west,85+,145.3
2042,Midland,midland,15–64,1400.4
2042,Midland,midland,65+,436.1
2042,Midland,midland,85+,80.7
2042,South-East,south east,15–64,2045.5
2042,South-East,south east,65+,671.9
2042,South-East,south east,85+,129.7
2042,South-West,south west,15–64,3243.3
2042,South-West,south west,65+,1043.6
2042,South-West,south west,85+,204.9
2042,West,west,15–64,2130.5
2042,West,west,65+,690.7
2042,West,west,85+,143.6
