STATISTIC Label,Year,Quarter,County,UNIT,VALUE
New Dwelling Completion,2013,Q1,Westmeath,Number,13
New Dwelling Completion,2013,Q1,Wicklow,Number,30
New Dwelling Completion,2013,Q1,Wexford,Number,29
New Dwelling Completion,2013,Q2,Ireland,Number,1146
New Dwelling Completion,2013,Q2,Cork City,Number,69
New Dwelling Completion,2013,Q2,Clare,Number,31
New Dwelling Completion,2013,Q2,Cavan,Number,17
New Dwelling Completion,2013,Q2,Cork,Number,101
New Dwelling Completion,2013,Q2,Carlow,Number,10
New Dwelling Completion,2013,Q2,Dublin City,Number,111
New Dwelling Completion,2013,Q2,Dún Laoghaire Rathdown,Number,24
New Dwelling Completion,2013,Q2,Donegal,Number,60
New Dwelling Completion,2013,Q2,Fingal,Number,25
New Dwelling Completion,2013,Q2,Galway,Number,57
New Dwelling Completion,2013,Q2,Galway City,Number,31
New Dwelling Completion,2013,Q2,Kildare,Number,52
New Dwelling Completion,2013,Q2,Kilkenny,Number,34
New Dwelling Completion,2013,Q2,Kerry,Number,42
New Dwelling Completion,2013,Q2,Longford,Number,7
New Dwelling Completion,2013,Q2,Louth,Number,79
New Dwelling Completion,2013,Q2,Limerick City &,Number,36
New Dwelling Completion,2013,Q2,Leitrim,Number,12
New Dwelling Completion,2013,Q2,Laois,Number,24
New Dwelling Completion,2013,Q2,Meath,Number,37
New Dwelling Completion,2013,Q2,Monaghan,Number,15
New Dwelling Completion,2013,Q2,Mayo,Number,45
New Dwelling Completion,2013,Q2,Offaly,Number,14
New Dwelling Completion,2013,Q2,Roscommon,Number,16
New Dwelling Completion,2013,Q2,South Dublin,Number,25
New Dwelling Completion,2013,Q2,Sligo,Number,15
New Dwelling Completion,2013,Q2,Tipperary,Number,38
New Dwelling Completion,2013,Q2,Waterford City &,Number,21
New Dwelling Completion,2013,Q2,Westmeath,Number,18
New Dwelling Completion,2013,Q2,Wicklow,Number,41
New Dwelling Completion,2013,Q2,Wexford,Number,39
New Dwelling Completion,2013,Q3,Ireland,Number,1033
New Dwelling Completion,2013,Q3,Cork City,Number,14
New Dwelling Completion,2013,Q3,Clare,Number,26
New Dwelling Completion,2013,Q3,Cavan,Number,16
New Dwelling Completion,2013,Q3,Cork,Number,103
New Dwelling Completion,2013,Q3,Carlow,Number,16
New Dwelling Completion,2013,Q3,Dublin City,Number,57
New Dwelling Completion,2013,Q3,Dún Laoghaire Rathdown,Number,30
New Dwelling Completion,2013,Q3,Donegal,Number,62
New Dwelling Completion,2013,Q3,Fingal,Number,61
New Dwelling Completion,2013,Q3,Galway,Number,62
New Dwelling Completion,2013,Q3,Galway City,Number,9
New Dwelling Completion,2013,Q3,Kildare,Number,51
New Dwelling Completion,2013,Q3,Kilkenny,Number,31
New Dwelling Completion,2013,Q3,Kerry,Number,54
New Dwelling Completion,2013,Q3,Longford,Number,9
New Dwelling Completion,2013,Q3,Louth,Number,37
New Dwelling Completion,2013,Q3,Limerick City &,Number,24
New Dwelling Completion,2013,Q3,Leitrim,Number,10
New Dwelling Completion,2013,Q3,Laois,Number,18
New Dwelling Completion,2013,Q3,Meath,Number,33
New Dwelling Completion,2013,Q3,Monaghan,Number,18
New Dwelling Completion,2013,Q3,Mayo,Number,41
New Dwelling Completion,2013,Q3,Offaly,Number,10
New Dwelling Completion,2013,Q3,Roscommon,Number,20
New Dwelling Completion,2013,Q3,South Dublin,Number,33
New Dwelling Completion,2013,Q3,Sligo,Number,23
New Dwelling Completion,2013,Q3,Tipperary,Number,23
New Dwelling Completion,2013,Q3,Waterford City &,Number,24
New Dwelling Completion,2013,Q3,Westmeath,Number,17
New Dwelling Completion,2013,Q3,Wicklow,Number,41
New Dwelling Completion,2013,Q3,Wexford,Number,60
New Dwelling Completion,2013,Q4,Ireland,Number,1507
New Dwelling Completion,2013,Q4,Cork City,Number,59
New Dwelling Completion,2013,Q4,Clare,Number,39
New Dwelling Completion,2013,Q4,Cavan,Number,21
New Dwelling Completion,2013,Q4,Cork,Number,119
New Dwelling Completion,2013,Q4,Carlow,Number,9
New Dwelling Completion,2013,Q4,Dublin City,Number,90
New Dwelling Completion,2013,Q4,Dún Laoghaire Rathdown,Number,132
New Dwelling Completion,2013,Q4,Donegal,Number,74
New Dwelling Completion,2013,Q4,Fingal,Number,72
New Dwelling Completion,2013,Q4,Galway,Number,67
New Dwelling Completion,2013,Q4,Galway City,Number,7
New Dwelling Completion,2013,Q4,Kildare,Number,57
New Dwelling Completion,2013,Q4,Kilkenny,Number,28
New Dwelling Completion,2013,Q4,Kerry,Number,59
New Dwelling Completion,2013,Q4,Longford,Number,11
New Dwelling Completion,2013,Q4,Louth,Number,41
New Dwelling Completion,2013,Q4,Limerick City &,Number,108
New Dwelling Completion,2013,Q4,Leitrim,Number,9
New Dwelling Completion,2013,Q4,Laois,Number,30
New Dwelling Completion,2013,Q4,Meath,Number,54
New Dwelling Completion,2013,Q4,Monaghan,Number,36
New Dwelling Completion,2013,Q4,Mayo,Number,90
New Dwelling Completion,2013,Q4,Offaly,Number,19
New Dwelling Completion,2013,Q4,Roscommon,Number,22
New Dwelling Completion,2013,Q4,South Dublin,Number,56
New Dwelling Completion,2013,Q4,Sligo,Number,22
New Dwelling Completion,2013,Q4,Tipperary,Number,48
New Dwelling Completion,2013,Q4,Waterford City &,Number,23
New Dwelling Completion,2013,Q4,Westmeath,Number,18
New Dwelling Completion,2013,Q4,Wicklow,Number,26
New Dwelling Completion,2013,Q4,Wexford,Number,61
New Dwelling Completion,2014,Q1,Ireland,Number,1094
New Dwelling Completion,2014,Q1,Cork City,Number,9
New Dwelling Completion,2014,Q1,Clare,Number,38
New Dwelling Completion,2014,Q1,Cavan,Number,25
New Dwelling Completion,2014,Q1,Cork,Number,91
New Dwelling Completion,2014,Q1,Carlow,Number,22
New Dwelling Completion,2014,Q1,Dublin City,Number,56
New Dwelling Completion,2014,Q1,Dún Laoghaire Rathdown,Number,143
New Dwelling Completion,2014,Q1,Donegal,Number,55
New Dwelling Completion,2014,Q1,Fingal,Number,53
New Dwelling Completion,2014,Q1,Galway,Number,65
New Dwelling Completion,2014,Q1,Galway City,Number,6
New Dwelling Completion,2014,Q1,Kildare,Number,58
New Dwelling Completion,2014,Q1,Kilkenny,Number,20
New Dwelling Completion,2014,Q1,Kerry,Number,40
New Dwelling Completion,2014,Q1,Longford,Number,17
New Dwelling Completion,2014,Q1,Louth,Number,27
New Dwelling Completion,2014,Q1,Limerick City &,Number,27
New Dwelling Completion,2014,Q1,Leitrim,Number,7
New Dwelling Completion,2014,Q1,Laois,Number,24
New Dwelling Completion,2014,Q1,Meath,Number,39
New Dwelling Completion,2014,Q1,Monaghan,Number,11
New Dwelling Completion,2014,Q1,Mayo,Number,35
New Dwelling Completion,2014,Q1,Offaly,Number,14
New Dwelling Completion,2014,Q1,Roscommon,Number,17
New Dwelling Completion,2014,Q1,South Dublin,Number,49
New Dwelling Completion,2014,Q1,Sligo,Number,9
New Dwelling Completion,2014,Q1,Tipperary,Number,28
New Dwelling Completion,2014,Q1,Waterford City &,Number,20
New Dwelling Completion,2014,Q1,Westmeath,Number,23
New Dwelling Completion,2014,Q1,Wicklow,Number,29
New Dwelling Completion,2014,Q1,Wexford,Number,37
New Dwelling Completion,2014,Q2,Ireland,Number,1318
New Dwelling Completion,2014,Q2,Cork City,Number,27
New Dwelling Completion,2014,Q2,Clare,Number,34
New Dwelling Completion,2014,Q2,Cavan,Number,22
New Dwelling Completion,2014,Q2,Cork,Number,113
New Dwelling Completion,2014,Q2,Carlow,Number,18
New Dwelling Completion,2014,Q2,Dublin City,Number,243
New Dwelling Completion,2014,Q2,Dún Laoghaire Rathdown,Number,64
New Dwelling Completion,2014,Q2,Donegal,Number,62
New Dwelling Completion,2014,Q2,Fingal,Number,74
New Dwelling Completion,2014,Q2,Galway,Number,59
New Dwelling Completion,2014,Q2,Galway City,Number,18
New Dwelling Completion,2014,Q2,Kildare,Number,65
New Dwelling Completion,2014,Q2,Kilkenny,Number,22
New Dwelling Completion,2014,Q2,Kerry,Number,42
New Dwelling Completion,2014,Q2,Longford,Number,8
New Dwelling Completion,2014,Q2,Louth,Number,29
New Dwelling Completion,2014,Q2,Limerick City &,Number,39
New Dwelling Completion,2014,Q2,Leitrim,Number,7
New Dwelling Completion,2014,Q2,Laois,Number,15
New Dwelling Completion,2014,Q2,Meath,Number,53
New Dwelling Completion,2014,Q2,Monaghan,Number,17
New Dwelling Completion,2014,Q2,Mayo,Number,50
New Dwelling Completion,2014,Q2,Offaly,Number,11
New Dwelling Completion,2014,Q2,Roscommon,Number,10
New Dwelling Completion,2014,Q2,South Dublin,Number,60
New Dwelling Completion,2014,Q2,Sligo,Number,21
New Dwelling Completion,2014,Q2,Tipperary,Number,33
New Dwelling Completion,2014,Q2,Waterford City &,Number,15
New Dwelling Completion,2014,Q2,Westmeath,Number,12
New Dwelling Completion,2014,Q2,Wicklow,Number,36
New Dwelling Completion,2014,Q2,Wexford,Number,39
New Dwelling Completion,2014,Q3,Ireland,Number,1404
New Dwelling Completion,2014,Q3,Cork City,Number,33
New Dwelling Completion,2014,Q3,Clare,Number,45
New Dwelling Completion,2014,Q3,Cavan,Number,23
New Dwelling Completion,2014,Q3,Cork,Number,111
New Dwelling Completion,2014,Q3,Carlow,Number,21
New Dwelling Completion,2014,Q3,Dublin City,Number,145
New Dwelling Completion,2014,Q3,Dún Laoghaire Rathdown,Number,75
New Dwelling Completion,2014,Q3,Donegal,Number,63
New Dwelling Completion,2014,Q3,Fingal,Number,152
New Dwelling Completion,2014,Q3,Galway,Number,72
New Dwelling Completion,2014,Q3,Galway City,Number,12
New Dwelling Completion,2014,Q3,Kildare,Number,75
New Dwelling Completion,2014,Q3,Kilkenny,Number,25
New Dwelling Completion,2014,Q3,Kerry,Number,44
New Dwelling Completion,2014,Q3,Longford,Number,15
New Dwelling Completion,2014,Q3,Louth,Number,46
New Dwelling Completion,2014,Q3,Limerick City &,Number,38
New Dwelling Completion,2014,Q3,Leitrim,Number,8
New Dwelling Completion,2014,Q3,Laois,Number,15
New Dwelling Completion,2014,Q3,Meath,Number,61
New Dwelling Completion,2014,Q3,Monaghan,Number,21
New Dwelling Completion,2014,Q3,Mayo,Number,45
New Dwelling Completion,2014,Q3,Offaly,Number,22
New Dwelling Completion,2014,Q3,Roscommon,Number,17
New Dwelling Completion,2014,Q3,South Dublin,Number,60
New Dwelling Completion,2014,Q3,Sligo,Number,12
New Dwelling Completion,2014,Q3,Tipperary,Number,34
New Dwelling Completion,2014,Q3,Waterford City &,Number,12
New Dwelling Completion,2014,Q3,Westmeath,Number,15
New Dwelling Completion,2014,Q3,Wicklow,Number,36
New Dwelling Completion,2014,Q3,Wexford,Number,51
